4 16
1 AP_1 -46.51
2 AP_2 -48.21
3 AP_3 -36.75
4 AP_1 -47.60
5 AP_2 -44.73
6 AP_3 -40.87
7 AP_1 -46.65
8 AP_2 -52.22
9 AP_3 -32.26
10 AP_1 -46.45
11 AP_2 -45.26
12 AP_3 -37.32
13 AP_1 -46.07
14 AP_2 -51.56
15 AP_3 -38.05
16 AP_1 -45.86
17 AP_2 -46.39
18 AP_3 -41.54
19 AP_1 -45.70
20 AP_2 -51.58
21 AP_3 -38.48
22 AP_1 -45.79
23 AP_2 -53.04
24 AP_3 -40.13
25 AP_1 -46.42
26 AP_2 -55.27
27 AP_3 -47.27
28 AP_1 -45.74
29 AP_2 -39.27
30 AP_3 -45.68
31 AP_1 -45.42
32 AP_2 -40.61
33 AP_3 -40.24
34 AP_1 -45.95
35 AP_2 -49.48
36 AP_3 -40.34
37 AP_1 -46.58
38 AP_2 -39.48
39 AP_3 -40.98
40 AP_1 -45.99
41 AP_2 -43.57
42 AP_3 -43.56
43 AP_1 -46.07
44 AP_2 -44.74
45 AP_3 -39.17
46 AP_1 -46.49
47 AP_2 -35.78
48 AP_3 -42.04
49 AP_1 -45.90
50 AP_2 -46.16
51 AP_3 -40.52
52 AP_1 -45.51
53 AP_2 -55.05
54 AP_3 -34.64
55 AP_1 -45.80
56 AP_2 -50.59
57 AP_3 -40.40
58 AP_1 -46.59
59 AP_2 -50.22
60 AP_3 -27.28
61 AP_1 -46.19
62 AP_2 -48.75
63 AP_3 -32.74
64 AP_1 -45.59
65 AP_2 -47.15
66 AP_3 -38.94
67 AP_1 -46.05
68 AP_2 -56.48
69 AP_3 -42.21
70 AP_1 -45.43
71 AP_2 -44.87
72 AP_3 -42.60
73 AP_1 -45.84
74 AP_2 -41.41
75 AP_3 -41.85
76 AP_1 -45.72
77 AP_2 -46.07
78 AP_3 -41.23
79 AP_1 -45.47
80 AP_2 -50.94
81 AP_3 -44.16
82 AP_1 -46.00
83 AP_2 -44.26
84 AP_3 -43.13
85 AP_1 -45.21
86 AP_2 -39.68
87 AP_3 -45.27
88 AP_1 -46.48
89 AP_2 -39.69
90 AP_3 -37.19
91 AP_1 -45.92
92 AP_2 -43.72
93 AP_3 -31.08
94 AP_1 -45.72
95 AP_2 -53.01
96 AP_3 -42.62
97 AP_1 -46.63
98 AP_2 -50.80
99 AP_3 -43.20
100 AP_1 -45.66
101 AP_2 -48.35
102 AP_3 -35.73
103 AP_1 -45.73
104 AP_2 -42.66
105 AP_3 -42.27
106 AP_1 -45.47
107 AP_2 -47.92
108 AP_3 -27.39
109 AP_1 -45.88
110 AP_2 -51.19
111 AP_3 -40.17
112 AP_1 -46.16
113 AP_2 -46.94
114 AP_3 -48.86
115 AP_1 -45.97
116 AP_2 -56.13
117 AP_3 -39.74
118 AP_1 -46.05
119 AP_2 -43.21
120 AP_3 -42.76
121 AP_1 -45.83
122 AP_2 -48.27
123 AP_3 -43.60
124 AP_1 -45.77
125 AP_2 -50.46
126 AP_3 -39.56
127 AP_1 -46.43
128 AP_2 -47.56
129 AP_3 -39.71
130 AP_1 -45.89
131 AP_2 -47.70
132 AP_3 -41.82
133 AP_1 -46.24
134 AP_2 -58.03
135 AP_3 -45.46
136 AP_1 -47.46
137 AP_2 -42.71
138 AP_3 -41.76
139 AP_1 -46.28
140 AP_2 -46.25
141 AP_3 -42.35
142 AP_1 -46.72
143 AP_2 -52.15
144 AP_3 -34.03
145 AP_1 -46.47
146 AP_2 -40.21
147 AP_3 -35.77
148 AP_1 -46.30
149 AP_2 -46.42
150 AP_3 -41.14
