14 20
1 AP_1 -50.96
2 AP_2 -58.80
3 AP_3 -44.49
4 AP_4 -66.61
5 AP_5 -56.45
6 AP_1 -49.38
7 AP_2 -55.27
8 AP_3 -36.45
9 AP_4 -66.02
10 AP_5 -56.04
11 AP_1 -50.11
12 AP_2 -60.69
13 AP_3 -28.85
14 AP_4 -65.58
15 AP_5 -57.35
16 AP_1 -49.71
17 AP_2 -61.67
18 AP_3 -38.97
19 AP_4 -65.73
20 AP_5 -57.58
21 AP_1 -49.45
22 AP_2 -51.02
23 AP_3 -35.76
24 AP_4 -65.75
25 AP_5 -58.71
26 AP_1 -50.14
27 AP_2 -53.12
28 AP_3 -34.39
29 AP_4 -65.79
30 AP_5 -57.08
31 AP_1 -50.04
32 AP_2 -48.64
33 AP_3 -30.63
34 AP_4 -66.78
35 AP_5 -57.58
36 AP_1 -50.39
37 AP_2 -59.01
38 AP_3 -34.51
39 AP_4 -66.68
40 AP_5 -56.09
41 AP_1 -50.71
42 AP_2 -49.95
43 AP_3 -29.97
44 AP_4 -65.50
45 AP_5 -57.15
46 AP_1 -49.92
47 AP_2 -46.60
48 AP_3 -26.77
49 AP_4 -65.70
50 AP_5 -56.10
51 AP_1 -49.59
52 AP_2 -57.99
53 AP_3 -36.81
54 AP_4 -66.21
55 AP_5 -56.59
56 AP_1 -49.72
57 AP_2 -57.80
58 AP_3 -29.35
59 AP_4 -66.54
60 AP_5 -57.04
61 AP_1 -50.91
62 AP_2 -53.03
63 AP_3 -30.86
64 AP_4 -66.60
65 AP_5 -56.20
66 AP_1 -50.80
67 AP_2 -56.35
68 AP_3 -34.71
69 AP_4 -66.19
70 AP_5 -57.50
71 AP_1 -50.54
72 AP_2 -53.57
73 AP_3 -35.81
74 AP_4 -65.78
75 AP_5 -56.83
76 AP_1 -51.42
77 AP_2 -52.08
78 AP_3 -37.12
79 AP_4 -66.58
80 AP_5 -57.95
81 AP_1 -50.87
82 AP_2 -53.93
83 AP_3 -34.74
84 AP_4 -66.70
85 AP_5 -56.84
86 AP_1 -51.40
87 AP_2 -53.84
88 AP_3 -26.92
89 AP_4 -65.67
90 AP_5 -57.45
91 AP_1 -50.41
92 AP_2 -59.29
93 AP_3 -38.14
94 AP_4 -66.29
95 AP_5 -57.21
96 AP_1 -49.79
97 AP_2 -51.08
98 AP_3 -38.55
99 AP_4 -66.56
100 AP_5 -56.24
101 AP_1 -51.11
102 AP_2 -50.56
103 AP_3 -32.23
104 AP_4 -66.39
105 AP_5 -56.55
106 AP_1 -50.18
107 AP_2 -53.88
108 AP_3 -39.63
109 AP_4 -66.81
110 AP_5 -58.09
111 AP_1 -50.40
112 AP_2 -48.73
113 AP_3 -38.72
114 AP_4 -66.41
115 AP_5 -57.72
116 AP_1 -50.33
117 AP_2 -53.41
118 AP_3 -36.76
119 AP_4 -65.79
120 AP_5 -57.37
121 AP_1 -50.23
122 AP_2 -57.52
123 AP_3 -30.26
124 AP_4 -66.55
125 AP_5 -56.58
126 AP_1 -50.61
127 AP_2 -60.14
128 AP_3 -30.58
129 AP_4 -65.70
130 AP_5 -57.54
131 AP_1 -49.78
132 AP_2 -63.60
133 AP_3 -36.54
134 AP_4 -66.30
135 AP_5 -57.72
136 AP_1 -50.41
137 AP_2 -55.68
138 AP_3 -38.21
139 AP_4 -66.32
140 AP_5 -57.29
141 AP_1 -49.55
142 AP_2 -53.94
143 AP_3 -37.66
144 AP_4 -65.42
145 AP_5 -57.76
146 AP_1 -50.03
147 AP_2 -52.75
148 AP_3 -30.21
149 AP_4 -67.06
150 AP_5 -57.81
151 AP_1 -50.31
152 AP_2 -54.72
153 AP_3 -32.93
154 AP_4 -66.15
155 AP_5 -58.00
156 AP_1 -50.15
157 AP_2 -49.15
158 AP_3 -39.06
159 AP_4 -66.39
160 AP_5 -58.09
161 AP_1 -49.51
162 AP_2 -54.52
163 AP_3 -33.34
164 AP_4 -65.91
165 AP_5 -57.30
166 AP_1 -50.35
167 AP_2 -60.06
168 AP_3 -42.61
169 AP_4 -65.92
170 AP_5 -56.75
171 AP_1 -49.51
172 AP_2 -45.19
173 AP_3 -29.91
174 AP_4 -66.46
175 AP_5 -57.33
176 AP_1 -50.50
177 AP_2 -49.57
178 AP_3 -35.58
179 AP_4 -65.49
180 AP_5 -57.67
181 AP_1 -50.71
182 AP_2 -64.89
183 AP_3 -29.73
184 AP_4 -65.79
185 AP_5 -58.81
186 AP_1 -50.20
187 AP_2 -54.21
188 AP_3 -40.08
189 AP_4 -65.45
190 AP_5 -57.37
191 AP_1 -49.98
192 AP_2 -41.55
193 AP_3 -32.01
194 AP_4 -66.16
195 AP_5 -57.56
196 AP_1 -50.25
197 AP_2 -58.01
198 AP_3 -36.40
199 AP_4 -66.16
200 AP_5 -56.57
201 AP_1 -50.72
202 AP_2 -57.16
203 AP_3 -31.24
204 AP_4 -67.35
205 AP_5 -56.44
206 AP_1 -49.88
207 AP_2 -55.17
208 AP_3 -32.60
209 AP_4 -66.32
210 AP_5 -56.06
211 AP_1 -49.96
212 AP_2 -49.23
213 AP_3 -38.12
214 AP_4 -66.13
215 AP_5 -56.76
216 AP_1 -49.91
217 AP_2 -55.63
218 AP_3 -31.13
219 AP_4 -65.80
220 AP_5 -56.26
221 AP_1 -50.38
222 AP_2 -57.89
223 AP_3 -35.35
224 AP_4 -66.12
225 AP_5 -57.10
226 AP_1 -50.32
227 AP_2 -52.37
228 AP_3 -39.96
229 AP_4 -66.49
230 AP_5 -57.08
231 AP_1 -51.61
232 AP_2 -52.94
233 AP_3 -36.04
234 AP_4 -65.77
235 AP_5 -58.01
236 AP_1 -50.61
237 AP_2 -51.81
238 AP_3 -28.62
239 AP_4 -66.33
240 AP_5 -57.56
241 AP_1 -50.40
242 AP_2 -46.50
243 AP_3 -39.80
244 AP_4 -66.31
245 AP_5 -56.87
246 AP_1 -51.04
247 AP_2 -57.94
248 AP_3 -34.30
249 AP_4 -66.24
250 AP_5 -56.39
251 AP_1 -49.93
252 AP_2 -66.65
253 AP_3 -39.37
254 AP_4 -66.82
255 AP_5 -58.18
256 AP_1 -50.65
257 AP_2 -43.98
258 AP_3 -35.61
259 AP_4 -66.47
260 AP_5 -57.02
261 AP_1 -50.95
262 AP_2 -50.60
263 AP_3 -27.12
264 AP_4 -66.45
265 AP_5 -58.21
266 AP_1 -49.67
267 AP_2 -55.18
268 AP_3 -31.29
269 AP_4 -66.25
270 AP_5 -56.62
271 AP_1 -50.49
272 AP_2 -44.01
273 AP_3 -32.38
274 AP_4 -66.75
275 AP_5 -57.31
276 AP_1 -50.67
277 AP_2 -50.13
278 AP_3 -32.52
279 AP_4 -66.54
280 AP_5 -57.56
281 AP_1 -50.60
282 AP_2 -54.88
283 AP_3 -30.48
284 AP_4 -66.30
285 AP_5 -55.90
286 AP_1 -51.08
287 AP_2 -53.36
288 AP_3 -36.88
289 AP_4 -66.62
290 AP_5 -58.08
291 AP_1 -49.77
292 AP_2 -48.95
293 AP_3 -40.09
294 AP_4 -66.47
295 AP_5 -57.80
296 AP_1 -49.99
297 AP_2 -59.87
298 AP_3 -34.82
299 AP_4 -66.14
300 AP_5 -55.61
